OMP_ID,WRL_ID,Titre,Description,Communauté_DCWF,Catégorie_NCWF,Mots_Clés
711,OG-WRL-004,Cyber Instructional Curriculum Developer,"Develops, plans, coordinates, and evaluates cyber training/education courses, methods, and technique...",EN - Cyber Enablers,OG - OVERSIGHT and GOVERNANCE,"needs, og, based, training, development, instructional, developer, develops, security, curriculum"
712,OG-WRL-005,Cyber Instructor,Develops and conducts training or education of personnel within cyber domain.,EN - Cyber Enablers,OG - OVERSIGHT and GOVERNANCE,"og, cyber, training, personnel, en, education, conducts, develops, security, instructor"
801,OG-WRL-010,Program Manager,"Leads, coordinates, communicates, integrates and is accountable for the overall success of the progr...",EN - Cyber Enablers,OG - OVERSIGHT and GOVERNANCE,"critical, integrates, og, priorities, alignment, agency, coordinates, management, en, manager"
802,OG-WRL-011,IT Project Manager,Work that involves directly managing information technology projects to provide a unique service or ...,EN - Cyber Enablers,OG - OVERSIGHT and GOVERNANCE,"og, service, technical, information, projects, product, directly, provide, management, manager"
803,OG-WRL-009,Product Support Manager,Manages the package of support functions required to field and maintain the readiness and operationa...,EN - Cyber Enablers,OG - OVERSIGHT and GOVERNANCE,"og, required, readiness, maintain, manages, operations, manager, field, package, operational"
804,OG-WRL-015,IT Investment/Portfolio Manager,Manages a portfolio of IT capabilities that align with the overall needs of mission and business ent...,EN - Cyber Enablers,OG - OVERSIGHT and GOVERNANCE,"needs, og, investment, business, mission, enterprise, priorities, management, en, manager"
805,OG-WRL-016,IT Program Auditor,"Conducts evaluations of an IT program or its individual components, to determine compliance with pub...",EN - Cyber Enablers,OG - OVERSIGHT and GOVERNANCE,"components, compliance, og, evaluations, standards, auditor, en, analysis, program, conducts"
732,OG-WRL-008,Privacy Compliance Manager,"Develops and oversees privacy compliance program and privacy program staff, supporting privacy compl...",EN - Cyber Enablers,OG - OVERSIGHT and GOVERNANCE,"needs, compliance, teams, og, executives, operations, management, en, manager, program"
751,OG-WRL-003,Cyber Workforce Developer and Manager,"Develop cyberspace workforce plans, strategies and guidance to support cyberspace workforce manpower...",EN - Cyber Enablers,OG - OVERSIGHT and GOVERNANCE,"og, personnel, training, development, cyberspace, policy, changes, operations, developer, manager"
752,OG-WRL-002,Cyber Policy and Strategy Planner,"Develops cyberspace plans, strategy and policy to support and align with organizational cyberspace m...",EN - Cyber Enablers,OG - OVERSIGHT and GOVERNANCE,"strategy, og, missions, operations, cyber, management, en, support, policy, cyberspace"
901,OG-WRL-007,Executive Cyber Leader,Executes decision-making authorities and establishes vision and direction for an organization's cybe...,EN - Cyber Enablers,OG - OVERSIGHT and GOVERNANCE,"vision, policies, og, risk, decisions, leader, direction, while, related, resources"
731,OG-WRL-006,Cyber Legal Advisor,Provides legal advice and recommendations on relevant topics related to cyber law.,EN - Cyber Enablers,OG - OVERSIGHT and GOVERNANCE,"recommendations, og, advice, related, cyber, legal, en, topics, advisor, law"
211,IN-WRL-002,Forensics Analyst,Conducts deep-dive investigations on computer-based crimes establishing documentary or physical evid...,EN - Cyber Enablers,IN - INVESTIGATION,"logs, based, include, investigations, analyst, dive, intrusion, crimes, in, documentary"
